"table_name","number_of_attributes","number_of_rows"
"Customers","13","122"
"Products","9","110"
"ProductLines","4","7"
"Orders","7","326"
"OrderDetails","5","2996"
"Payments","4","273"
"Employees","8","23"
"Offices","9","7"
